Name, x-Offset, MPV, Width
ADC_1_0, 21, 236.104, 62.4021
ADC_1_1, 105.5, 224.394, 60.7951
ADC_1_2, 168.5, 171.428, 38.0121
ADC_1_3, 126.5, 281.167, 71.6116
ADC_1_4, 21.5, 102.124, 24.0469
ADC_1_5, 252.5, 53.6589, 13.3687
ADC_1_6, 21.5, 94.9406, 22.8438
ADC_1_7, 21.5, 87.9758, 24.8295
ADC_1_8, 21.5, 102.359, 27.2551
ADC_1_9, 231.5, 115.59, 25.1309
ADC_1_10, 63.5, 105.445, 24.0354
ADC_1_11, 63.5, 96.4782, 20.178
ADC_2_0, 42.5, 87.3287, 20.4046
ADC_2_1, 189.5, 64.0228, 16.1271
ADC_2_2, 42.5, 101.111, 20.9769
ADC_2_3, 42.5, 97.4611, 24.9251
ADC_2_4, 21.5, 72.8377, 16.0248
ADC_2_5, 21.5, 78.865, 16.8742
ADC_2_6, 21.5, 95.7943, 24.8725
ADC_2_7, 63.5, 99.0167, 23.177
